id,type,nameID,descriptionID,characterID,entityID,maxHp,hp,atk,def,hit,dodge,cri,criDmg,spd,inspectRange,counterInspectRange,maxShield,shield,shieldRegenSpd,armorEfficiency,structureID
1,1,BS_N_1,嚙踝蕭嚙緞艦,B,1,40000,40000,560,150,0,10,10,50,7,400,100,1000,1000,10,0,
2,1,BS_N_1,嚙碼嚙緞艦,A,1,800,800,120,100,0,20,10,50,10,200,0,1000,1000,10,0,
3,1,BS_N_1,嚙踝蕭嚙緞艦,CharacterID,1,16000,16000,300,150,0,0,10,50,7,200,0,1000,1000,10,0,
4,1,BS_N_1,嚙踝蕭艦,D,1,24000,24000,430,150,0,-10,10,50,4,200,-100,1000,1000,10,0,
101,1,BS_N_21101,敵人普通制空艦,敵人制空艦,1,26000,26000,0,300,0,0,0,50,4,400,-100,0,0,10,0,
102,1,BS_N_21102,敵人普通戰艦,敵人戰艦,1,32000,32000,600,300,0,0,0,50,4,400,-100,0,0,10,0,
201,1,BS_N_21201,敵人普通巡洋01,敵人重巡(導彈艦),1,26000,26000,400,240,0,0,0,50,7,300,-50,0,0,10,0,
202,1,BS_N_21202,敵人普通巡洋02,敵人輕巡,1,24000,24000,300,240,10,0,0,50,7,200,-50,0,0,10,0,
301,1,BS_N_21105,敵人普通驅逐01,敵人驅逐艦,1,13000,13000,2,3,10,0,0,50,9,150,0,0,0,10,0,
302,1,BS_N_21106,敵人普通驅逐02,敵人炮艦,1,6400,6400,400,50,10,0,0,50,9,150,10,0,0,10,0,
303,1,BS_N_21107,敵人普通驅逐03,敵人魚雷艦,1,6400,6400,400,50,0,0,0,50,9,150,10,0,0,10,0,
401,1,BS_N_21108,敵人普通特殊01,敵人加成艦(回血),1,11000,11000,0,50,0,0,0,50,0,0,0,3000,3000,10,0,
402,1,BS_N_21109,敵人普通特殊02,敵人加成艦(防),1,11000,11000,0,50,0,0,0,50,0,0,0,3000,3000,10,0,
403,1,BS_N_21110,敵人普通特殊03,敵人炮台,1,11000,11000,0,100,0,0,0,50,0,0,0,3000,3000,10,0,
