id,defaultSkinIndex,prefabKey
1,0,Aircraft_0
2,0,Projectile
3,0,AttributeNumPopUpUI
4,0,VFX_HitExplosion
5,0,Captureable_0
9001,0,DestinationIndicator
6,0,VFX_HitExplosion_shield
7,0,VFX_HitExplosion_shield_break
8,0,VFX_HitExplosion_shield_regen
1001,0,Range_Line
1002,0,Range_Circle
4001,0,modelWeapon_1
4002,0,modelWeapon_1x3A
4003,0,modelWeapon_1x3B
4004,0,modelWeapon_1x5A
4005,0,modelWeapon_1x5B
11001,0,MainGun01
12001,0,AAGun01
13001,0,Missile01
13002,0,Missile02
50000,0,SpawnGroup1
100000,0,TestItem_0
