id,item,type,maxHp,hp,atk,def,hit,dodge,cri,criDmg,spd,inspectRange,counterInspectRange,maxShield,shield,shieldRegenSpd,armorEfficiency
11001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11002,11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001,21001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13001,13001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13002,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23001,23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23002,23002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23003,23003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23004,23004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11011,11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11012,11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12011,12011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12012,12012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13011,13011,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
13012,13012,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
13013,13013,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
13014,13014,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
13015,13015,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
13016,13016,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
13017,13017,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
13018,13018,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
21011,21011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21012,21012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22011,22011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22012,22012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23011,23011,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
23012,23012,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
23013,23013,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
23014,23014,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
23015,23015,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
23016,23016,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0
23017,23017,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
23018,23018,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0
