id,type,maxTarget,targetType,targetRangeXValue,targetRangeYValue,value,formula,rangeVisualEntityKey,cd,allowParallel,name,description,icon
101,2,1,1,200,200,1011,2,1002,6,0,普通炮擊,Skill_d_1,i_s_name_2
102,2,1,3,400,400,1021,1,1002,8,0,主炮齊射,Skill_d_1,i_s_name_1
201,2,4,1,100,100,2011,2,1002,8,1,防空彈,Skill_d_1,i_s_name_3
301,2,1,2,100,100,3011,3,1001,7,0,高速魚雷,Skill_d_1,i_s_name_4
302,2,1,2,100,100,3012,3,1001,7,0,高速魚雷,Skill_d_1,i_s_name_4
303,2,1,2,100,100,3013,3,1001,7,0,高速魚雷,Skill_d_1,i_s_name_4
304,2,1,2,100,100,3021,3,1001,7,0,高速魚雷,Skill_d_1,i_s_name_4
305,2,1,2,100,100,3022,3,1001,8,0,音速魚雷,Skill_d_1,i_s_name_5
306,2,1,2,100,100,3023,3,1001,8,0,音速魚雷,Skill_d_2,i_s_name_6
1101,2,1,3,400,400,1011,2,1001,6,0,玩家_主炮類_01,Skill_d_1,i_s_name_2
1102,2,1,3,400,400,1021,2,1001,6,0,玩家_主炮類_02,Skill_d_1,i_s_name_1
1201,2,4,1,200,200,2011,1,1001,8,1,玩家_副炮類_01,Skill_d_1,i_s_name_3
1202,2,4,1,200,200,2011,1,1001,8,1,玩家_副炮類_01,Skill_d_1,i_s_name_3
1301,2,1,2,400,400,3023,3,1001,7,0,玩家_魚雷類_01(高3直),Skill_d_1,i_s_name_4
1302,2,1,2,400,400,3023,3,1001,7,0,玩家_魚雷類_02(高3扇),Skill_d_1,i_s_name_4
1303,2,1,2,400,400,3013,3,1001,7,0,玩家_魚雷類_03(慢3直),Skill_d_1,i_s_name_4
1304,2,1,2,400,400,3013,3,1001,7,0,玩家_魚雷類_04(慢3扇),Skill_d_1,i_s_name_4
1305,2,1,2,400,400,3023,3,1001,7,0,玩家_魚雷類_05(高5直),Skill_d_1,i_s_name_5
1306,2,1,2,400,400,3023,3,1001,7,0,玩家_魚雷類_06(高5扇),Skill_d_1,i_s_name_6
1307,2,1,2,400,400,3013,3,1001,7,0,玩家_魚雷類_07(慢5直),Skill_d_1,
1308,2,1,2,400,400,3013,3,1001,7,0,玩家_魚雷類_08(慢5扇),Skill_d_1,
2101,2,1,3,400,400,1011,2,1001,8,0,敵人_主炮類_01,Skill_d_1,i_s_name_2
2102,2,1,3,400,400,1021,2,1001,8,0,敵人_主炮類_02,Skill_d_1,i_s_name_1
2201,2,4,1,200,200,2011,1,1001,9,1,敵人_副炮類_01,Skill_d_1,i_s_name_3
2202,2,4,1,200,200,2011,1,1001,9,1,敵人_副炮類_01,Skill_d_1,i_s_name_3
2301,2,1,2,400,400,3023,3,1001,10,0,敵人_魚雷類_01(高3直),Skill_d_1,i_s_name_4
2302,2,1,2,400,400,3023,3,1001,10,0,敵人_魚雷類_02(高3扇),Skill_d_1,i_s_name_4
2303,2,1,2,400,400,3013,3,1001,10,0,敵人_魚雷類_03(慢3直),Skill_d_1,i_s_name_4
2304,2,1,2,400,400,3013,3,1001,10,0,敵人_魚雷類_04(慢3扇),Skill_d_1,i_s_name_4
2305,2,1,2,400,400,3023,3,1001,10,0,敵人_魚雷類_05(高5直),Skill_d_1,i_s_name_5
2306,2,1,2,400,400,3023,3,1001,10,0,敵人_魚雷類_06(高5扇),Skill_d_1,i_s_name_6
2307,2,1,2,400,400,3013,3,1001,10,0,敵人_魚雷類_07(慢5直),Skill_d_1,
2308,2,1,2,400,400,3013,3,1001,10,0,敵人_魚雷類_08(慢5扇),Skill_d_1,
